"Municipio";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Cabo Frio";0.00171488354917054;0.582399659224681;0.415885457226148;0.294955860228789;0.9529;0.375138943332599;0.754380406707942;0.0983606557377049;0.155293000973459;0.15475550779151;0.644460851128275;0.735;0.140163222552844;0.0396382016493748;0.344104480123868;0.0701975832239389;0.0669380751307976;0.0583696241683537
"Cachoeiras de Macacu";0.0231156477312667;0.219389507417668;0.757494844851065;0.210545454545455;0.9142;0.270779208814696;0.86496047758554;0.147540983606557;0.0823058172907796;0.101020956475013;0.662373505059798;0.7;0.0296123857854305;0.0452751994095773;0.225932982180881;0.0383279166199709;0.00997869716335912;0.0859174912018868
"Cambuci";0.168399091402894;0.0924645696508814;0.739142511480914;0.118444313494402;0.8826;0.190868011060902;0.761583597491064;0.0819672131147541;0.0965999661353191;0.191832348199893;0.670158405723046;0.691;0.0134452617041427;0.106068601583113;0.16614481409002;0.0272015655577299;0.0125269132902721;0.0853173264989546
"Carapebus";0.00952077313266162;0.573434276470162;0.417044950397177;0.266903181506065;0.9351;0.299276951508525;0.902948045310751;0.163934426229508;0.176369161963172;0.195056421278882;0.551401500819775;0.716;0.249659390113693;0.224359425904728;0.268189414259433;0.055779466078726;0.083670374115268;0.0570352208500187
"Comendador Levy Gasparian";0.011759749321958;0.10965057798141;0.878589672696632;0.12148070907195;0.9133;0.238426626323752;0.707110438729198;0.19672131147541;0.268790487203941;0.200429876410532;0.75870253164557;0.709;0.0968034118765249;0.372851476421331;0.271468574984443;0.0546048537647791;0.0488868130157247;0.054261220373172
"Campos dos Goytacazes";0.00335751760154767;0.655822357554681;0.340820124843771;0.0721425467188179;0.9207;0.196496743768246;0.789130922973276;0.114754098360656;0.0462967133381835;0;0.478207863456263;0.713;0.124622164855119;0.0985923552300298;0.220697954271961;0.0724428399518652;0.0113225728740063;0.068867430196871
"Cantagalo";0.0225209047820893;0.620168779623136;0.357310315594775;0.129718599862732;0.8589;0.213333333333333;0.695;0.0819672131147541;0.00660621195891484;0;0.632492630199804;0.648;0.00683774141822119;0.00260756192959583;0.142322972657163;0.0154241645244216;0.00233590282644242;0.0922222222222222
"Cardoso Moreira";0.133360247611358;0.0737361503610999;0.792903602027542;0.163100666432831;0.9075;0.123322243891247;0.772628197774464;0.0327868852459017;0.0831654336482419;0.128425577646427;0.776924591455011;0.696;0.0264225721507651;0.282846715328467;0.29736796234966;0.0298065190866306;0.053649190036579;0.0721004932889756
"Carmo";0.0363598864435979;0.345226829722013;0.618413283834389;0.260064005389928;0.9358;0.26553880102979;0.806886015786347;0.131147540983607;0.0874584740940454;0.143471252015046;0.805240174672489;0.726;0.168999853951727;0.152484848484848;0.278972572921202;0.0697431432303004;0.0308991208982505;0.0376269556115088
"Casimiro de Abreu";0.00381491841652357;0.605012318802442;0.391172762781034;0.121031746031746;0.9323;0.225427872860636;0.961124694376528;0.131147540983607;0.0530563557197107;0;0.805276381909548;0.685;0.0599168777436926;0.0573701133863598;0.261464199517297;0.0349959774738536;0.00845070422535211;0.0562347188264059
"Conceição de Macabu";0.0322976119945799;0.048939153082234;0.918763234923186;0.198237885462555;0.9105;0.267785582952242;0.864504266654095;0.0491803278688525;0.0627840266873541;0.178398710370768;0.255042735042735;0.712;0.00395258303782112;0.0370624571036376;0.254292967000149;0.0450948185754816;0.0247465712581992;0.0720852387911932
"Cordeiro";0.0141978836187361;0.170345045027292;0.815452144954381;0.207692307692308;0.9451;0.346891825746451;0.972197748409202;0.0491803278688525;0.128418438309006;0.167114454594304;0.832866479925303;0.729;0.0105089503588676;0.192914766748509;0.396303590365096;0.0533252537494319;0.0402847190670907;0.0415565345080764
"Duas Barras";0.204111559957944;0.0557615332115913;0.740136129710586;0.108578284343131;0.8915;0.204666056724611;0.707776761207685;0.0327868852459017;0.0594185125534161;0.0784524449220849;0.369928400954654;0.659;0.00831307818015851;0.342440318302387;0.170416197975253;0.0365579302587177;0.0118276541819206;0.0410795974382434
"Duque de Caxias";0.000200553541754578;0.320623404483493;0.679176041974753;0.245335080881592;0.9528;0.194048755157605;0.99659668229152;0.295081967213115;0.163549599210254;0.0752283718430951;0.550244998979973;0.711;0.0660753996013872;0.0925516703496685;0.298747790436862;0.0383721275679209;0.0375937895623958;0.0662477428167775
"Engenheiro Paulo de Frontin";0.0299632295169553;0.214576196612087;0.7554542883183;0.162418062636562;0.9463;0.280048349323865;0.719422829946363;0.0327868852459017;0.0377208956577768;0.201504567436862;0.355983162958509;0.722;0.0181029358981867;0.189342403628118;0.180863210778717;0.0319707695820964;0.0104688211197087;0.0709375236080683
"Guapimirim";0.0114892297040461;0.157298248680812;0.831212521615142;0.216903914590747;0.9303;0.171221568284676;0.966260707417983;0.0819672131147541;0.00166792050416314;0.0687802256851155;0.433269623673631;0.698;0.0157991834281707;0.148449625771738;0.205496882555032;0.0355006998345846;0.00559049615653389;0.06695414020162
"Iguaba Grande";0.0055593049169503;0.0848073178902802;0.90963337719277;0.25954525954526;0.9596;0.285808060916371;1;0.0327868852459017;0.0602561911177704;0;0.747097625329815;0.761;0.00719204128070498;0.0318342597271349;0.315352149828541;0.0480084410445793;0.0263852242744063;0.064417312152641
"Itaboraí";0.00184072414689688;0.217762741030904;0.780396534822199;0.240997808161987;0.9393;0.23121169865326;0.988092180103482;0.245901639344262;0.068078968593472;0.0687802256851155;0.218367408937631;0.693;0.0127846670692886;0.130427046263345;0.226027002077083;0.031992845603508;0.00749042090403618;0.0694653407214414
"Itaguaí";0.00253473348586264;0.164522178672435;0.832943333407822;0.148449674034028;0.9494;0.299603083664097;0.955248370626358;0.262295081967213;0.128274164959457;0.061257388500806;0.698192371999117;0.715;0.116080439480042;0.146122534182236;0.261521213194076;0.0403021183690329;0.0204659392509584;0.0655416120486566
"Italva";0.0499201588450244;0.265102537573188;0.684983284192647;0.243697478991597;0.8968;0.240631444215317;0.728294105098485;0.180327868852459;0.092396900012041;0.477700161203654;0.838457238680827;0.688;0.0145823330906628;0.136711844431349;0.188717948717949;0.0242051282051282;0.0237851137994669;0.0764417265163905
"Itaocara";0.127049934377568;0.0837105089929308;0.789239556629501;0.259259259259259;0.8972;0.355823398401677;0.756626926940041;0.0819672131147541;0.235213219386814;0.190220311660398;0.873882503192848;0.713;0.0132549464425179;0.140917905623788;0.198273705278959;0.0390292719539655;0.0692461808164287;0.0858552775230359
"Itaperuna";0.0249631686669708;0.177059213134878;0.797977618198151;0.292478085139888;0.929;0.288029131582517;0.922027107396626;0.0983606557377049;0.204199285718053;0.246641590542719;0.901367253928304;0.73;0.0256353739278453;0.127272727272727;0.286216199259678;0.0501599849425936;0.104309315911804;0.0529731534520717
"Itatiaia";0.00188366223876778;0.269113198918477;0.729003138842756;0.107844630616908;0.9452;0.203036514609318;0.966299551818782;0.262295081967213;0.0621323180422688;0.178936055883933;0.84909319037299;0.737;0.140935074886301;0.183026430788704;0.322694278394535;0.0635140905209223;0.0175064047822374;0.070249800229302
"Japeri";0.00568100991652862;0.0821589673227208;0.912158493140418;0.194331983805668;0.9334;0.0883110627068236;1;0.0983606557377049;0;0.136485760343901;0.576659038901602;0.659;0;0.0697408173000477;0.181888544891641;0.00904165493948776;0.00503361610757154;0.112930926150882
"Laje do Muriaé";0.087045931137117;0.134965839139552;0.777988229723331;0.127215849843587;0.8752;0.15493522104982;0.752905035394684;0;0.0215176308587699;0.367544331004836;0.787021630615641;0.668;0.0104394347912169;0.182825048553882;0.199083715118701;0.026655560183257;0.0162839248434238;0.115667156404434
"Macaé";0.00219609037149856;0.480654782360073;0.517149127268429;0.124724681494278;0.96;0.371841260013157;0.98128458650981;1;0.275572963127401;0.0934981192907039;0.714127949479709;0.764;0.191964879161285;0.0449339207048458;0.391130840283383;0.102352554329955;0.108596202720885;0.035815177431214
"Macuco";0.0328095479470992;0.18953043638542;0.777660015667481;0.168573607932876;0.927;0.421522110457392;0.87170241032454;0.0819672131147541;0.13906476362991;0;0.968514715947981;0.703;0.03506375069409;0.13497300539892;0.270139309509388;0.0199878861296184;0.0665859564164649;0.0817992028847979
"Magé";0.00630714855976874;0.0996673985405964;0.894025009608339;0.37135531572357;0.9451;0.165945223075637;0.946833126578158;0.0819672131147541;0.0661396762429482;0.0816765180010747;0.319297923737883;0.709;0.0103193892755711;0.0991902834008097;0.236621919170396;0.0313942751615882;0.0124584481631957;0.0861289272485725
"Mangaratiba";0.00436063323874107;0.0575938006610471;0.938045566100212;0.0588056680161943;0.9617;0.218839148562651;0.881062102260259;0.180327868852459;0.0271061390143674;0.0891993551853842;0.545158237829881;0.753;0.136582810124851;0.222950978963222;0.317795890643573;0.0741212429954152;0.0626908720732949;0.0425170068027211
"Maricá";0.00235032497263112;0.343345286667252;0.654304388360117;0.289703851465398;0.9572;0.280007217894101;0.984544291979507;0.114754098360656;0.0783686281229;0.0338527673293928;0.13515874600639;0.765;0.0244227863374103;0.157891598592809;0.331815740935304;0.09215287992342;0.0115860780191544;0.0495994853327685
"Mendes";0.00273230799663716;0.0982889075713367;0.898972602739726;0.236474694589878;0.9482;0.246055199330917;0.986952885419571;0.0163934426229508;0.155059135578554;0.245029554003224;0.437151296357073;0.736;0.00765205727059715;0.109978150036417;0.277155382367267;0.0414028251339503;0.0222150154045727;0.0580429328129356
"Mesquita";0.00117654604121007;0.102330755400059;0.896492698558731;0.199711295561169;0.9665;0.146279754834418;1;0.0983606557377049;0.0212128637674257;0.0225685115529285;0.868470927147297;0.737;0.00454113724714286;0.100429645542428;0.364257738947051;0.0465090005272275;0.0855318908536241;0.0559521547013826
"Miguel Pereira";0.016188399994068;0.10003707493586;0.883771559075203;0.256830601092896;0.9375;0.466764061358656;0.872534696859021;0.0983606557377049;0.279258029435775;0.215475550779151;0.44843537414966;0.745;0.0242569654762738;0.0724258289703316;0.237025468524748;0.0545410860163383;0.0418068236424796;0.0658225793360929
